id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
f_E_peak_e.2464,31115.00,E2C_0,2.30,0.00,2123.00,31700.00,C2W_0,483.20,12.28,585.00,997.70,210.00,24,0.00,507.81,0,tripinfo_f_E_peak_e.2464,motorcycle,0.94,
f_E_peak_e.2556,31348.00,E2C_0,3.10,0.00,2080.00,31700.00,C2W_2,483.20,13.84,352.00,996.90,109.00,13,0.00,282.46,0,tripinfo_f_E_peak_e.2556,rickshaw,1.03,
f_W_peak_e.3329,31587.00,W2C_0,2.30,0.00,0.00,31700.00,C2E_0,483.20,11.38,113.00,997.70,4.00,2,0.00,36.51,0,tripinfo_f_W_peak_e.3329,motorcycle,0.94,
f_E_peak_e.2558,31353.00,E2C_0,3.10,0.00,2079.00,31702.00,C2W_1,483.20,14.74,349.00,996.90,122.00,13,0.00,282.94,0,tripinfo_f_E_peak_e.2558,rickshaw,1.10,
f_W_peak_e.3330,31590.00,W2C_0,4.60,0.00,0.00,31702.00,C2E_0,483.20,12.06,112.00,995.40,2.00,1,0.00,31.22,0,tripinfo_f_W_peak_e.3330,car,0.89,
f_W_peak_e.3312,31536.00,W2C_0,2.30,0.00,0.00,31707.00,C2E_0,483.20,13.61,171.00,997.70,68.00,6,0.00,98.20,0,tripinfo_f_W_peak_e.3312,motorcycle,0.99,
f_E_peak_e.2410,30754.00,E2C_0,2.30,0.00,1924.00,31708.00,C2W_0,483.20,14.18,954.00,997.70,571.00,38,0.00,886.70,0,tripinfo_f_E_peak_e.2410,motorcycle,1.07,
f_W_peak_e.3338,31615.00,W2C_0,2.30,0.00,1.00,31708.00,C2E_1,483.20,13.74,93.00,997.70,5.00,1,0.00,22.20,0,tripinfo_f_W_peak_e.3338,motorcycle,1.02,
f_W_peak_e.3343,31629.00,W2C_0,2.30,0.00,0.00,31708.00,C2N_1,483.20,13.89,79.00,973.13,0.00,0,0.00,10.74,0,tripinfo_f_W_peak_e.3343,motorcycle,1.05,
f_W_peak_e.3333,31599.00,W2C_0,4.60,0.00,0.00,31709.00,C2N_0,483.20,9.70,110.00,970.83,0.00,0,0.00,10.42,0,tripinfo_f_W_peak_e.3333,car,0.71,
